run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
0,00:00:00.246,0,122,["a88"|"a151"|"a107"|"a123"|"a154"|"a126"|"a112"|"a139"|"a86"|"a32"|"a53"|"a87"|"a21"|"a146"|"a93"|"a122"|"a115"|"a9"|"a150"|"a26"|"a15"|"a90"|"a2"|"a47"|"a59"|"a104"|"a55"|"a103"|"a95"|"a130"|"a117"|"a70"|"a68"|"a111"|"a114"|"a46"|"a30"|"a35"|"a140"|"a134"|"a144"|"a109"|"a149"|"a8"|"a147"|"a125"|"a69"|"a58"|"a66"|"a14"|"a118"|"a10"|"a141"|"a31"|"a96"|"a62"|"a148"|"a11"|"a37"|"a84"|"a13"|"a12"|"a18"|"a33"|"a38"|"a81"|"a78"|"a132"|"a129"|"a79"|"a108"|"a54"|"a89"|"a120"|"a0"|"a91"|"a100"|"a71"|"a131"|"a128"|"a142"|"a121"|"a67"|"a50"|"a160"|"a143"|"a51"|"a64"|"a5"|"a136"|"a61"|"a92"|"a97"|"a23"|"a105"|"a156"|"a39"|"a74"|"a25"|"a77"|"a76"|"a102"|"a7"|"a65"|"a80"|"a157"|"a73"|"a119"|"a63"|"a24"|"a116"|"a135"|"a29"|"a98"|"a44"|"a52"|"a155"|"a56"|"a17"|"a49"|"a60"|"a4"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
1,00:00:00.147,0,69,["a71"|"a86"|"a110"|"a15"|"a99"|"a0"|"a62"|"a6"|"a2"|"a92"|"a119"|"a39"|"a70"|"a20"|"a79"|"a77"|"a33"|"a23"|"a126"|"a18"|"a135"|"a149"|"a50"|"a97"|"a152"|"a38"|"a118"|"a42"|"a96"|"a154"|"a131"|"a9"|"a112"|"a111"|"a48"|"a44"|"a66"|"a148"|"a28"|"a8"|"a80"|"a141"|"a153"|"a89"|"a142"|"a93"|"a94"|"a132"|"a12"|"a10"|"a17"|"a100"|"a133"|"a14"|"a52"|"a5"|"a65"|"a68"|"a90"|"a64"|"a124"|"a109"|"a3"|"a61"|"a129"|"a150"|"a78"|"a104"|"a158"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
2,00:00:00.191,0,127,["a103"|"a104"|"a152"|"a8"|"a32"|"a113"|"a105"|"a57"|"a14"|"a156"|"a42"|"a25"|"a146"|"a26"|"a127"|"a60"|"a24"|"a119"|"a12"|"a121"|"a88"|"a117"|"a7"|"a84"|"a135"|"a147"|"a82"|"a99"|"a94"|"a141"|"a11"|"a132"|"a92"|"a95"|"a71"|"a80"|"a33"|"a9"|"a79"|"a45"|"a115"|"a61"|"a142"|"a68"|"a2"|"a43"|"a46"|"a56"|"a4"|"a136"|"a85"|"a155"|"a35"|"a75"|"a28"|"a158"|"a16"|"a31"|"a36"|"a64"|"a107"|"a137"|"a133"|"a150"|"a159"|"a66"|"a97"|"a100"|"a62"|"a73"|"a30"|"a138"|"a77"|"a5"|"a106"|"a76"|"a48"|"a38"|"a52"|"a65"|"a98"|"a59"|"a72"|"a51"|"a149"|"a18"|"a123"|"a101"|"a114"|"a148"|"a154"|"a29"|"a34"|"a130"|"a17"|"a54"|"a118"|"a10"|"a15"|"a134"|"a143"|"a153"|"a145"|"a111"|"a116"|"a41"|"a144"|"a109"|"a112"|"a22"|"a0"|"a39"|"a90"|"a87"|"a70"|"a102"|"a139"|"a63"|"a91"|"a55"|"a58"|"a21"|"a151"|"a86"|"a81"|"a69"|"a83"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
3,00:00:00.131,9,13,["a115"|"a3"|"a105"|"a20"|"a53"|"a157"|"a90"|"a18"|"a74"|"a72"|"a141"|"a45"|"a8"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
4,00:00:00.120,0,118,["a39"|"a82"|"a76"|"a35"|"a128"|"a106"|"a54"|"a104"|"a130"|"a83"|"a72"|"a155"|"a7"|"a13"|"a44"|"a79"|"a32"|"a12"|"a28"|"a48"|"a102"|"a0"|"a124"|"a74"|"a95"|"a30"|"a135"|"a125"|"a93"|"a150"|"a97"|"a91"|"a53"|"a142"|"a141"|"a108"|"a120"|"a138"|"a55"|"a123"|"a148"|"a65"|"a51"|"a49"|"a50"|"a75"|"a26"|"a133"|"a36"|"a62"|"a25"|"a84"|"a73"|"a105"|"a154"|"a80"|"a14"|"a153"|"a109"|"a2"|"a111"|"a143"|"a4"|"a77"|"a61"|"a70"|"a27"|"a126"|"a43"|"a20"|"a110"|"a19"|"a107"|"a145"|"a149"|"a67"|"a37"|"a116"|"a15"|"a101"|"a136"|"a78"|"a119"|"a144"|"a59"|"a11"|"a99"|"a137"|"a85"|"a23"|"a103"|"a9"|"a34"|"a40"|"a42"|"a112"|"a17"|"a147"|"a46"|"a10"|"a71"|"a118"|"a121"|"a115"|"a98"|"a47"|"a21"|"a159"|"a63"|"a156"|"a94"|"a64"|"a129"|"a127"|"a89"|"a139"|"a18"|"a100"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
5,00:00:00.159,0,140,["a158"|"a107"|"a150"|"a31"|"a142"|"a138"|"a22"|"a63"|"a125"|"a74"|"a124"|"a159"|"a24"|"a21"|"a73"|"a44"|"a106"|"a85"|"a7"|"a123"|"a82"|"a141"|"a152"|"a50"|"a11"|"a147"|"a122"|"a27"|"a80"|"a153"|"a19"|"a0"|"a36"|"a76"|"a84"|"a79"|"a134"|"a102"|"a55"|"a139"|"a97"|"a25"|"a64"|"a15"|"a131"|"a59"|"a160"|"a157"|"a96"|"a67"|"a95"|"a127"|"a18"|"a129"|"a98"|"a60"|"a34"|"a108"|"a47"|"a30"|"a45"|"a71"|"a86"|"a112"|"a81"|"a118"|"a154"|"a54"|"a2"|"a83"|"a70"|"a32"|"a9"|"a8"|"a145"|"a39"|"a33"|"a105"|"a4"|"a66"|"a69"|"a16"|"a92"|"a120"|"a28"|"a143"|"a10"|"a121"|"a61"|"a72"|"a26"|"a115"|"a116"|"a117"|"a20"|"a6"|"a12"|"a90"|"a132"|"a133"|"a38"|"a140"|"a155"|"a23"|"a156"|"a144"|"a77"|"a14"|"a101"|"a29"|"a51"|"a128"|"a136"|"a13"|"a119"|"a100"|"a109"|"a137"|"a17"|"a113"|"a103"|"a3"|"a88"|"a49"|"a35"|"a104"|"a111"|"a146"|"a114"|"a110"|"a40"|"a46"|"a56"|"a149"|"a53"|"a58"|"a94"|"a130"|"a75"|"a48"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
6,00:00:00.167,0,139,["a8"|"a61"|"a11"|"a148"|"a97"|"a92"|"a124"|"a42"|"a98"|"a30"|"a23"|"a44"|"a144"|"a0"|"a150"|"a74"|"a77"|"a147"|"a116"|"a7"|"a108"|"a28"|"a39"|"a6"|"a141"|"a4"|"a153"|"a138"|"a91"|"a140"|"a157"|"a94"|"a79"|"a80"|"a62"|"a58"|"a104"|"a119"|"a143"|"a105"|"a122"|"a41"|"a99"|"a46"|"a2"|"a149"|"a12"|"a158"|"a103"|"a18"|"a10"|"a66"|"a115"|"a100"|"a95"|"a93"|"a17"|"a127"|"a151"|"a71"|"a24"|"a109"|"a126"|"a72"|"a59"|"a32"|"a67"|"a90"|"a76"|"a87"|"a160"|"a21"|"a131"|"a73"|"a102"|"a106"|"a22"|"a5"|"a56"|"a45"|"a13"|"a78"|"a84"|"a63"|"a25"|"a159"|"a118"|"a36"|"a55"|"a1"|"a31"|"a29"|"a128"|"a112"|"a14"|"a155"|"a134"|"a121"|"a101"|"a50"|"a26"|"a114"|"a37"|"a54"|"a3"|"a9"|"a89"|"a15"|"a38"|"a152"|"a75"|"a83"|"a70"|"a85"|"a88"|"a69"|"a146"|"a51"|"a60"|"a111"|"a113"|"a117"|"a107"|"a40"|"a49"|"a96"|"a145"|"a82"|"a136"|"a135"|"a53"|"a65"|"a48"|"a64"|"a43"|"a47"|"a142"|"a123"|"a156"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
7,00:00:00.145,0,131,["a53"|"a66"|"a87"|"a83"|"a77"|"a109"|"a95"|"a48"|"a6"|"a159"|"a82"|"a117"|"a128"|"a107"|"a138"|"a96"|"a108"|"a124"|"a118"|"a80"|"a149"|"a153"|"a5"|"a18"|"a157"|"a112"|"a17"|"a142"|"a45"|"a1"|"a44"|"a49"|"a104"|"a28"|"a43"|"a37"|"a32"|"a58"|"a7"|"a22"|"a75"|"a136"|"a160"|"a94"|"a14"|"a140"|"a56"|"a102"|"a47"|"a13"|"a155"|"a64"|"a30"|"a55"|"a76"|"a120"|"a15"|"a65"|"a60"|"a152"|"a122"|"a27"|"a110"|"a147"|"a36"|"a50"|"a132"|"a63"|"a141"|"a9"|"a46"|"a8"|"a115"|"a111"|"a2"|"a3"|"a137"|"a59"|"a103"|"a129"|"a20"|"a90"|"a11"|"a4"|"a34"|"a130"|"a74"|"a10"|"a62"|"a93"|"a71"|"a131"|"a69"|"a92"|"a145"|"a121"|"a24"|"a54"|"a19"|"a114"|"a70"|"a146"|"a12"|"a25"|"a99"|"a158"|"a101"|"a91"|"a123"|"a29"|"a113"|"a154"|"a134"|"a86"|"a23"|"a127"|"a21"|"a38"|"a100"|"a116"|"a61"|"a144"|"a84"|"a31"|"a35"|"a88"|"a126"|"a85"|"a139"|"a41"|"a135"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
8,00:00:00.133,0,17,["a37"|"a113"|"a151"|"a145"|"a83"|"a87"|"a115"|"a154"|"a114"|"a94"|"a43"|"a104"|"a59"|"a121"|"a77"|"a60"|"a122"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
9,00:00:00.138,0,55,["a54"|"a121"|"a83"|"a116"|"a21"|"a11"|"a9"|"a133"|"a1"|"a108"|"a140"|"a153"|"a87"|"a84"|"a24"|"a90"|"a7"|"a18"|"a78"|"a10"|"a123"|"a114"|"a125"|"a57"|"a60"|"a66"|"a75"|"a76"|"a53"|"a4"|"a77"|"a117"|"a28"|"a38"|"a139"|"a131"|"a143"|"a156"|"a112"|"a94"|"a43"|"a64"|"a8"|"a128"|"a158"|"a42"|"a50"|"a157"|"a61"|"a0"|"a144"|"a136"|"a102"|"a118"|"a132"],PF-Competition-161-args-Audience-50-Members-PAF-size-82-args.xmi
